car_age,km_driven,months_since_service,service_required
7,65279,19,1
4,58028,14,1
13,109263,20,1
15,5126,17,1
11,57329,8,1
8,32632,24,1
13,114945,14,1
5,60176,6,0
7,139869,23,1
10,149790,22,1
3,39560,16,1
7,81589,19,1
11,27116,14,1
11,137717,19,1
8,129085,3,1
5,122718,10,1
4,24256,19,1
8,105158,9,1
8,124719,20,1
3,73244,13,1
6,147766,7,1
5,61264,14,1
2,62545,9,0
8,44224,23,1
12,102945,19,1
14,18224,15,1
6,45738,20,1
2,68731,14,1
12,144649,24,1
5,13070,6,0
1,131161,21,1
12,13666,4,1
10,62761,8,1
6,41368,17,1
13,142855,9,1
12,46914,1,1
9,132738,24,1
1,72526,20,1
11,24956,14,1
11,51240,11,1
15,126008,21,1
10,99270,3,1
12,9757,9,1
12,24097,14,1
15,146467,9,1
14,108892,4,1
14,75480,4,1
15,51163,8,1
14,24816,2,1
3,57853,9,0
12,101731,14,1
7,67823,22,1
4,6759,9,0
9,97374,24,1
3,138554,23,1
5,29442,16,1
3,98501,17,1
7,7079,16,1
5,138789,12,1
9,64676,3,1
7,95397,11,1
2,77847,14,1
4,98607,18,1
9,69077,21,1
12,43258,21,1
14,142717,5,1
2,124771,16,1
10,43000,20,1
9,31737,5,1
10,16485,3,1
5,43565,12,1
2,124614,1,1
4,70155,21,1
12,57487,9,1
15,134948,9,1
12,17342,4,1
7,45806,3,1
12,53770,17,1
13,83623,2,1
8,108177,24,1
15,136026,1,1
3,80629,8,1
14,125993,13,1
1,131944,23,1
4,110947,15,1
2,31399,8,0
8,133177,12,1
4,114575,22,1
2,115904,12,1
14,35678,14,1
6,81218,15,1
6,68230,15,1
10,79055,9,1
4,77258,19,1
6,44986,20,1
13,90595,22,1
15,106358,8,1
2,69929,21,1
10,78506,19,1
12,39911,6,1
2,92127,20,1
10,118453,19,1
14,89458,4,1
4,17175,23,1
14,124235,7,1
15,59771,4,1
15,132157,22,1
8,126300,12,1
14,91925,13,1
7,71358,3,1
12,52057,22,1
9,11150,12,1
14,9425,2,1
8,21032,24,1
5,7198,2,0
13,149931,23,1
2,123865,9,1
15,144777,1,1
5,28236,8,0
8,92955,23,1
10,108145,6,1
9,99914,6,1
12,107870,22,1
12,121243,18,1
12,19596,17,1
13,137351,12,1
9,116496,6,1
13,135273,8,1
15,143155,19,1
13,125674,10,1
1,125307,1,1
9,24063,13,1
7,72642,17,1
9,95093,3,1
8,40954,8,1
1,32856,14,1
12,7573,3,1
8,40367,16,1
8,104608,13,1
15,65774,20,1
11,28752,24,1
3,60029,17,1
1,135282,13,1
8,56693,6,1
3,121739,17,1
3,60961,14,1
1,131678,17,1
11,79532,8,1
5,86994,11,1
10,61133,20,1
7,66268,1,1
10,36653,7,1
9,126829,21,1
12,133377,21,1
7,6622,17,1
9,53756,10,1
8,45809,11,1
12,21725,22,1
2,56226,9,0
1,86182,9,1
7,34402,24,1
7,9263,5,1
14,52924,17,1
8,79182,9,1
5,147736,17,1
3,40737,24,1
12,106332,21,1
8,94563,19,1
6,133575,7,1
11,106371,23,1
3,43709,9,0
1,26172,7,0
3,16555,13,1
5,58276,11,1
15,62492,14,1
14,94599,19,1
3,16046,11,1
1,121021,13,1
